name,h_size,num_layers,embedding_dim,annealer,loss,ce,hib,cib
char_model_linear_50_1_15,50,1,15,linear,1.736907720565796,1.6718462705612183,69.16413879394531,60.958709716796875
char_model_elbow_50_1_15,50,1,15,elbow,1.7482373714447021,1.6854948997497559,70.6928939819336,54.791996002197266
char_model_double_elbow_50_1_15,50,1,15,double_elbow,1.7406572103500366,1.6758028268814087,72.33365631103516,57.37518310546875
char_model_none_50_1_20,50,1,20,none,1.7496029138565063,1.6871287822723389,69.21591186523438,55.73291778564453
char_model_linear_50_1_20,50,1,20,linear,1.7316149473190308,1.665573239326477,72.6552734375,59.4275016784668
char_model_elbow_50_1_20,50,1,20,elbow,1.7386404275894165,1.6753203868865967,70.59556579589844,56.04471206665039
char_model_double_elbow_50_1_20,50,1,20,double_elbow,1.7477774620056152,1.6860674619674683,69.35012817382812,54.07024002075195
char_model_none_50_1_25,50,1,25,none,1.7579842805862427,1.6971955299377441,67.09860229492188,54.47909164428711
char_model_linear_50_1_25,50,1,25,linear,1.7314698696136475,1.6664403676986694,71.5960922241211,58.461978912353516
char_model_elbow_50_1_25,50,1,25,elbow,1.7356979846954346,1.6719791889190674,69.638427734375,57.79862594604492
char_model_double_elbow_50_1_25,50,1,25,double_elbow,1.7303825616836548,1.664122462272644,71.954345703125,60.56548309326172
char_model_none_50_1_30,50,1,30,none,1.7399048805236816,1.67402982711792,70.09941101074219,61.650691986083984
char_model_linear_50_1_30,50,1,30,linear,1.7359428405761719,1.6698647737503052,70.49639129638672,61.66019058227539
char_model_elbow_50_1_30,50,1,30,elbow,1.7284997701644897,1.6626635789871216,69.84671783447266,61.8260498046875
char_model_double_elbow_50_1_30,50,1,30,double_elbow,1.7269790172576904,1.660066843032837,71.66273498535156,62.161651611328125
char_model_none_25_3_10,25,3,10,none,2.776123523712158,2.7428512573242188,37.14408493041992,29.400537490844727
char_model_linear_25_3_10,25,3,10,linear,2.072227716445923,1.9830069541931152,113.08868408203125,65.35191345214844
