meanings,signal length,signal dimension,MI,theoretical best
8,4,1,1.1977670192718506,3.0
8,4,1,1.2055352926254272,3.0
8,4,2,0.7065759897232056,3.0
8,4,2,2.976520299911499,3.0
8,4,2,1.5433558225631714,3.0
8,4,2,2.038015365600586,3.0
8,4,2,2.043696880340576,3.0
8,4,2,1.8971068859100342,3.0
8,4,2,1.119257926940918,3.0
8,4,2,2.033781051635742,3.0
8,4,2,1.613730549812317,3.0
8,4,2,2.4813098907470703,3.0
8,4,3,2.9836905002593994,3.0
8,4,3,2.043224573135376,3.0
8,4,3,2.9780690670013428,3.0
8,4,3,2.4907469749450684,3.0
8,4,3,2.981325387954712,3.0
8,4,3,2.98659348487854,3.0
8,4,3,2.987257719039917,3.0
8,4,3,2.0447003841400146,3.0
8,4,3,2.9839670658111572,3.0
8,4,3,2.482046365737915,3.0
8,5,1,1.2085046768188477,3.0
8,5,1,1.6141810417175293,3.0
8,5,1,1.2029274702072144,3.0
8,5,1,0.7983070611953735,3.0
8,5,1,1.0997666120529175,3.0
8,5,1,1.095850944519043,3.0
8,5,1,1.204764485359192,3.0
8,5,1,1.2041302919387817,3.0
8,5,1,1.119065284729004,3.0
8,5,1,1.4960476160049438,3.0
8,5,2,2.9825546741485596,3.0
8,5,2,2.4929962158203125,3.0
8,5,2,1.9876896142959595,3.0
8,5,2,2.976414203643799,3.0
8,5,2,2.036635398864746,3.0
8,5,2,2.9816648960113525,3.0
8,5,2,2.985553503036499,3.0
8,5,2,2.0345818996429443,3.0
8,5,2,2.9841110706329346,3.0
8,5,2,1.6190028190612793,3.0
8,5,3,2.98038649559021,3.0
8,5,3,2.490422248840332,3.0
8,5,3,2.0426876544952393,3.0
8,5,3,2.9865691661834717,3.0
8,5,3,2.9905285835266113,3.0
8,5,3,2.9832117557525635,3.0
8,5,3,2.4926705360412598,3.0
8,5,3,2.9878101348876953,3.0
8,5,3,2.984617233276367,3.0
8,5,3,2.987644672393799,3.0
16,1,1,0.12479067593812943,4.0
16,1,1,0.1262206733226776,4.0
16,1,1,0.12630891799926758,4.0
16,1,1,0.12618881464004517,4.0
16,1,1,0.3347232937812805,4.0
16,1,1,0.13061217963695526,4.0
16,1,1,0.12476792186498642,4.0
16,1,1,0.13834576308727264,4.0
16,1,1,5.205768957239343e-06,4.0
16,1,1,0.12631383538246155,4.0
16,1,2,0.3419584631919861,4.0
16,1,2,0.3352866768836975,4.0
16,1,2,0.3426419198513031,4.0
16,1,2,0.38358408212661743,4.0
16,1,2,0.38847362995147705,4.0
16,1,2,0.9261112809181213,4.0
16,1,2,0.3878985345363617,4.0
16,1,2,0.2966196835041046,4.0
16,1,2,0.38588207960128784,4.0
16,1,2,0.3884370028972626,4.0
16,1,3,0.5727044343948364,4.0
16,1,3,0.38116174936294556,4.0
16,1,3,0.6000892519950867,4.0
16,1,3,0.6470794677734375,4.0
16,1,3,0.5942149758338928,4.0
16,1,3,-1.522893853689311e-06,4.0
16,1,3,0.6464174389839172,4.0
16,1,3,0.620403528213501,4.0
16,1,3,2.6060954496642807e-06,4.0
16,1,3,1.1786891222000122,4.0
16,2,1,0.1304791122674942,4.0
16,2,1,0.3847159743309021,4.0
16,2,1,0.12626896798610687,4.0
16,2,1,0.15046104788780212,4.0
16,2,1,0.3881951868534088,4.0
16,2,1,0.38606974482536316,4.0
16,2,1,0.38563239574432373,4.0
16,2,1,0.343039333820343,4.0
16,2,1,0.12484373152256012,4.0
16,2,1,0.12621739506721497,4.0
16,2,2,0.6790429353713989,4.0
16,2,2,0.3872435688972473,4.0
16,2,2,0.9184616208076477,4.0
16,2,2,0.6257141828536987,4.0
16,2,2,0.6515535712242126,4.0
16,2,2,0.6449214220046997,4.0
16,2,2,0.3839576244354248,4.0
16,2,2,0.6101651787757874,4.0
16,2,2,1.6692322492599487,4.0
16,2,2,1.104679822921753,4.0
16,2,3,0.6380948424339294,4.0
16,2,3,1.0865141153335571,4.0
16,2,3,1.106593370437622,4.0
16,2,3,2.4754459857940674,4.0
16,2,3,0.9382016658782959,4.0
16,2,3,0.9117366671562195,4.0
16,2,3,2.7493817806243896,4.0
16,2,3,2.419980525970459,4.0
16,2,3,2.7660751342773438,4.0
16,2,3,1.4769957065582275,4.0
16,3,1,0.6548997759819031,4.0
16,3,1,0.3425804078578949,4.0
16,3,1,0.34292545914649963,4.0
16,3,1,0.3890894055366516,4.0
16,3,1,0.3856532871723175,4.0
16,3,1,0.39451864361763,4.0
16,3,1,0.6026374101638794,4.0
16,3,1,0.35362163186073303,4.0
16,3,1,0.3271145522594452,4.0
16,3,1,0.526094377040863,4.0
16,3,2,1.2091189622879028,4.0
16,3,2,0.9395363926887512,4.0
16,3,2,0.9172565340995789,4.0
16,3,2,1.4472522735595703,4.0
16,3,2,0.9079540371894836,4.0
16,3,2,1.2203037738800049,4.0
16,3,2,1.1687310934066772,4.0
16,3,2,1.660164713859558,4.0
16,3,2,1.6410622596740723,4.0
16,3,2,1.1279499530792236,4.0
16,3,3,2.225203275680542,4.0
16,3,3,3.0716984272003174,4.0
16,3,3,3.0460045337677,4.0
16,3,3,1.1905583143234253,4.0
16,3,3,2.217212677001953,4.0
16,3,3,2.570970058441162,4.0
16,3,3,3.058530569076538,4.0
16,3,3,1.6813879013061523,4.0
16,3,3,1.1700873374938965,4.0
16,3,3,1.609681248664856,4.0
16,4,1,0.6473098993301392,4.0
16,4,1,0.38722872734069824,4.0
16,4,1,0.6103282570838928,4.0
16,4,1,0.45459863543510437,4.0
16,4,1,0.5774471163749695,4.0
16,4,1,0.6761473417282104,4.0
16,4,1,0.6513336896896362,4.0
16,4,1,0.5873368382453918,4.0
16,4,1,0.6485134363174438,4.0
16,4,1,0.6129176020622253,4.0
16,4,2,1.7350976467132568,4.0
16,4,2,1.2170161008834839,4.0
16,4,2,2.2187602519989014,4.0
16,4,2,1.3905842304229736,4.0
16,4,2,1.7895416021347046,4.0
16,4,2,1.5285245180130005,4.0
16,4,2,0.908388614654541,4.0
16,4,2,1.993904709815979,4.0
16,4,2,0.9080830812454224,4.0
16,4,2,2.2100090980529785,4.0
16,4,3,1.4770313501358032,4.0
16,4,3,3.378422260284424,4.0
16,4,3,2.5228734016418457,4.0
16,4,3,2.3050642013549805,4.0
16,4,3,3.384603977203369,4.0
16,4,3,2.313528537750244,4.0
16,4,3,1.9309827089309692,4.0
16,4,3,1.457977056503296,4.0
16,4,3,0.9278020858764648,4.0
16,4,3,1.6258459091186523,4.0
16,5,1,0.45345598459243774,4.0
16,5,1,0.93571537733078,4.0
16,5,1,0.7891275882720947,4.0
16,5,1,0.6643117666244507,4.0
16,5,1,0.9221246838569641,4.0
16,5,1,0.8059301376342773,4.0
16,5,1,0.9400843381881714,4.0
16,5,1,1.1176514625549316,4.0
16,5,1,0.6675741076469421,4.0
16,5,1,0.5716168284416199,4.0
16,5,2,1.7281451225280762,4.0
16,5,2,1.2903006076812744,4.0
16,5,2,2.48127818107605,4.0
16,5,2,2.0381317138671875,4.0
16,5,2,1.2817530632019043,4.0
16,5,2,1.4488238096237183,4.0
16,5,2,2.6124119758605957,4.0
16,5,2,1.2231409549713135,4.0
16,5,2,1.74077570438385,4.0
16,5,2,2.729538679122925,4.0
16,5,3,2.576931953430176,4.0
16,5,3,1.7447654008865356,4.0
16,5,3,3.0973243713378906,4.0
16,5,3,3.3563969135284424,4.0
16,5,3,3.659489154815674,4.0
16,5,3,3.646440029144287,4.0
16,5,3,3.329495429992676,4.0
16,5,3,1.736498475074768,4.0
16,5,3,3.1031525135040283,4.0
16,5,3,2.969378709793091,4.0
32,1,1,4.366189187976488e-08,5.0
32,1,1,3.6062652952750796e-07,5.0
32,1,1,1.5077505395311164e-06,5.0
32,1,1,1.2621776477317326e-06,5.0
32,1,1,8.229717423091643e-07,5.0
32,1,1,2.1240491605567513e-06,5.0
32,1,1,6.037718094376032e-07,5.0
32,1,1,-7.35889287284408e-08,5.0
32,1,1,-4.2875169015132997e-07,5.0
32,1,1,3.178651866164728e-07,5.0
32,1,2,0.2198500782251358,5.0
32,1,2,0.15737783908843994,5.0
32,1,2,7.846610969863832e-07,5.0
32,1,2,0.19442196190357208,5.0
32,1,2,8.134553013405821e-07,5.0
32,1,2,1.1111287676612847e-06,5.0
32,1,2,2.9566996317953453e-07,5.0
32,1,2,5.573527687374735e-06,5.0
32,1,2,-1.368463387052543e-07,5.0
32,1,2,2.4315950213349424e-06,5.0
32,1,3,9.18025875762396e-07,5.0
32,1,3,1.577428292875993e-06,5.0
32,1,3,0.43813371658325195,5.0
32,1,3,0.7441692352294922,5.0
32,1,3,0.31092116236686707,5.0
32,1,3,2.3274035356735112e-06,5.0
32,1,3,1.6086279401861248e-06,5.0
32,1,3,0.5243730545043945,5.0
32,1,3,0.3747367858886719,5.0
32,1,3,8.278063887701137e-07,5.0
32,2,1,1.3973531167721376e-06,5.0
32,2,1,6.072166343074059e-06,5.0
32,2,1,0.06260965019464493,5.0
32,2,1,2.5797203306865413e-06,5.0
32,2,1,0.2197108417749405,5.0
32,2,1,5.632587999571115e-06,5.0
32,2,1,0.06244000047445297,5.0
32,2,1,0.06328212469816208,5.0
32,2,1,0.06237941235303879,5.0
32,2,1,1.2263639064258314e-06,5.0
32,2,2,0.47898587584495544,5.0
32,2,2,0.21777789294719696,5.0
32,2,2,0.4912281036376953,5.0
32,2,2,0.3356645405292511,5.0
32,2,2,3.7780509956064634e-06,5.0
32,2,2,0.37987351417541504,5.0
32,2,2,0.37730085849761963,5.0
32,2,2,0.35072705149650574,5.0
32,2,2,9.523036510472593e-07,5.0
32,2,2,1.3215020895004272,5.0
32,2,3,0.6630153656005859,5.0
32,2,3,0.6479251980781555,5.0
32,2,3,0.5366118550300598,5.0
32,2,3,1.2773735523223877,5.0
32,2,3,0.9541478753089905,5.0
32,2,3,0.5101701021194458,5.0
32,2,3,0.53630131483078,5.0
32,2,3,1.2500905990600586,5.0
32,2,3,2.2500414848327637,5.0
32,2,3,0.6894767880439758,5.0
32,3,1,0.3800276219844818,5.0
32,3,1,0.22051796317100525,5.0
32,3,1,0.22112581133842468,5.0
32,3,1,5.730797056457959e-06,5.0
32,3,1,0.16999438405036926,5.0
32,3,1,0.18017356097698212,5.0
32,3,1,0.37720876932144165,5.0
32,3,1,2.146459564755787e-06,5.0
32,3,1,0.1924039125442505,5.0
32,3,1,0.37856703996658325,5.0
32,3,2,1.1247942447662354,5.0
32,3,2,0.46172428131103516,5.0
32,3,2,0.8259310126304626,5.0
32,3,2,0.6883435249328613,5.0
32,3,2,0.5361966490745544,5.0
32,3,2,0.3440594971179962,5.0
32,3,2,1.901008129119873,5.0
32,3,2,0.8081940412521362,5.0
32,3,2,0.6757209300994873,5.0
32,3,2,1.8253936767578125,5.0
32,3,3,1.2969328165054321,5.0
32,3,3,0.6953260898590088,5.0
32,3,3,0.9568135738372803,5.0
32,3,3,0.7787837982177734,5.0
32,3,3,0.9787128567695618,5.0
32,3,3,0.661738932132721,5.0
32,3,3,0.8543884754180908,5.0
32,3,3,0.9472444653511047,5.0
32,3,3,0.9780367612838745,5.0
32,3,3,0.8397524952888489,5.0
32,4,1,0.41075870394706726,5.0
32,4,1,0.3309434652328491,5.0
32,4,1,0.34997937083244324,5.0
32,4,1,0.30083081126213074,5.0
32,4,1,0.3267572224140167,5.0
32,4,1,0.18774008750915527,5.0
32,4,1,0.35359078645706177,5.0
32,4,1,0.3761528432369232,5.0
32,4,1,0.3519277572631836,5.0
32,4,1,0.3250153958797455,5.0
32,4,2,1.681491732597351,5.0
32,4,2,1.5351687669754028,5.0
32,4,2,0.790665864944458,5.0
32,4,2,0.6714398860931396,5.0
32,4,2,1.0278260707855225,5.0
32,4,2,0.6945582032203674,5.0
32,4,2,1.155928373336792,5.0
32,4,2,0.9886507391929626,5.0
32,4,2,0.9326907992362976,5.0
32,4,2,0.9279141426086426,5.0
32,4,3,0.8000344634056091,5.0
32,4,3,2.5665652751922607,5.0
32,4,3,0.8529852032661438,5.0
32,4,3,2.7415294647216797,5.0
32,4,3,0.7045099139213562,5.0
32,4,3,3.317643404006958,5.0
32,4,3,1.8582453727722168,5.0
32,4,3,2.1978671550750732,5.0
32,4,3,2.098228931427002,5.0
32,4,3,2.9057252407073975,5.0
32,5,1,0.43832406401634216,5.0
32,5,1,0.32088136672973633,5.0
32,5,1,0.2789097726345062,5.0
32,5,1,0.3059326708316803,5.0
32,5,1,0.3276142477989197,5.0
32,5,1,0.28938350081443787,5.0
32,5,1,0.21259646117687225,5.0
32,5,1,0.46257179975509644,5.0
32,5,1,0.3792618215084076,5.0
32,5,1,0.29385775327682495,5.0
32,5,2,0.891426146030426,5.0
32,5,2,0.977128267288208,5.0
32,5,2,0.6660373210906982,5.0
32,5,2,0.9369461536407471,5.0
32,5,2,0.5131919980049133,5.0
32,5,2,0.7016922831535339,5.0
32,5,2,0.9549767971038818,5.0
32,5,2,1.3075084686279297,5.0
32,5,2,0.8569915294647217,5.0
32,5,2,0.9779250025749207,5.0
32,5,3,1.1438337564468384,5.0
